property_id,property_name,city,state,site_review_count,site_review_rating
HTLGBO1000028360,Chirag Inn,Thiruvananthapuram,Kerala,119,4.4
HTLGBO1000003294,Brunton Boatyard,Ernakulam,Kerala,5,4.8
HTLGBO1000066620,Cassowary Hotel,Dera Bassi,Punjab,,
HTLGBO1000027534,Chanakya BNR Ranchi,Ranchi,Jharkhand,25,4.2
HTLGBO1000024444,Caravan Home Stay,Delhi,Delhi,,
HTLGBO1000001670,Bridge View Regency,Shimla,Himachal Pradesh,219,3.9
HTLGBO1000017464,BHAWANI COTTAGE,Manali,Himachal Pradesh,14,4
HTLGBO1000061468,Carbery Farms,Paonta Sahib,Himachal Pradesh,,
HTLGBO1000048974,Bob Hostel,Jodhpur,Rajasthan,1,1
HTLGBO1000038804,Casa Fredwin Homestay,Goa,Goa,3,5
HTLGBO1000059602,Bul Bul Houseboats,Srinagar,Jammu and Kashmir,,
HTLGBO1000036926,Challenger Residency,Coimbatore,Tamil Nadu,,
HTLGBO1000056562,Century resorts,Dandeli,Karnataka,,
HTLGBO1000021294,Caveri Residency,Coorg,Karnataka,105,3.9
HTLGBO1000010656,Chandan Lodge,Puri,Orissa,48,3.9
HTLGBO1000082146,Casa Melhor Candolim 1 BHK Appartment,Goa,Goa,,
HTLGBO1000084938,Bhalla Dormitory Hotel,Raipur,Chhattisgarh,,
HTLGBO1000083502,Chandran Hyline,Chennai,Tamil Nadu,25,4.6
HTLGBO1000063612,Bright Guest House,Sonipat,Haryana,,
HTLGBO1000067060,Birma Cottage,Kinnaur,Himachal Pradesh,,
HTLGBO1000032614,Casa Almeida Guest House,Goa,Goa,25,4.3
HTLGBO1000063858,Bhainsrorgarh Fort Hotel- 50 kms from Kota,Kota,Rajasthan,,
HTLGBO1000080738,CAMRON GUEST HOUSE,Goa,Goa,1,5
HTLGBO1000061838,blackresidency,Faridabad,Haryana,,
HTLGBO1000080490,BINI TOURIST HOME,Thrissur,Kerala,,
HTLGBO1000073344,Casa Melhor  2BHK in SIolim,Goa,Goa,1,4.6
HTLGBO1000033402,Chukey's Homestay,Kalimpong,West Bengal,,
HTLGBO1000073338,Casa Melhor  2BHK in Arpora,Goa,Goa,,
HTLGBO1000083192,Birje Home Stay,Alibag,Maharashtra,,
HTLGBO1000079080,Cedar LodgeCedar Lodge,Nainital,Uttarakhand,,
HTLGBO1000050078,Chill Inn,Goa,Goa,13,4.6
HTLGBO1000083216,Chalet Riviera,Bangalore,Karnataka,,
HTLGBO1000086132,Chembil Residency,Alleppey,Kerala,,
HTLGBO1000049294,Blue Diamond Lodge,Mysore,Karnataka,,
HTLGBO1000077052,CHARULATA ECO RESORT,Bankura,West Bengal,,
HTLGBO1000064722,Camp AquaForest,Rishikesh,Uttarakhand,2,5
HTLGBO1000019224,Casa Melhor Calangute,Goa,Goa,1,5
HTLGBO1000001308,Casa Paradiso,Goa,Goa,22,3.7
HTLGBO1000000684,Casa Amarilla,Goa,Goa,25,4.6
HTLGBO1000011999,Camp Paradise,Jaisalmer,Rajasthan,59,3.7
HTLGBO1000015522,Capitol Hill,Ranchi,Jharkhand,46,4.5
HTLGBO1000088034,Citi Suites,Gurgaon,Haryana,6,4.7
HTLGBO1000050370,Bhaktavatsal  Lodge,Tuljapur,Maharashtra,,
HTLGBO1000060306,Bohemian Masala Beach Resort,Varkala,Kerala,,
HTLGBO1000011253,Casa De Cris,Goa,Goa,1,4
HTLGBO1000068880,Chalukya Residency,Hubli,Karnataka,,
HTLGBO1000068218,Citi Heart Hotel,Port Blair,Andaman and Nicobar Islands,1,3
HTLGBO1000009258,Bharat Avenue,Mumbai,Maharashtra,10,3.2
HTLGBO1000011191,Bombay Palace,Delhi,Delhi,32,3.7
HTLGBO1000008682,Citi Business Hotel,Pondicherry,Pondicherry,197,3.7
HTLGBO1000074844,Chirag Guest House,Bhiwani,Haryana,,
HTLGBO1000059114,Camp Nirvana,Barkot,Uttarakhand,,
HTLGBO1000003420,Castle House Palolem,Goa,Goa,134,4.1
HTLGBO1000087020,"Chandan Mahal Hotel ,Sayajigunj",Vadodara,Gujarat,,
